,Id,Price_main,Price_for_m2,Address,district,area,rooms,floor,build_year
566,3685512771.0,520000,3662.0,"вулиця Андрія Верхогляда, 11-В",Печерський,142.0,5,4,2020.0
567,1750458776.0,185000,2378.0,"Щекавицька вулиця, 30/39",Подільський,77.8,2,7,2005.0
568,3685512771.0,520000,3662.0,"вулиця Андрія Верхогляда, 11-В",Печерський,142.0,5,4,2020.0
570,3288550039.0,55000,1222.0,"проспект Павла Тичини, 26",Дніпровський,45.0,2,5,1971.0
571,4129826236.0,40000,851.0,"вулиця Зодчих, 16",Святошинський,47.0,2,4,1970.0
572,3053522732.0,330000,2785.0,"вулиця Казимира Малевича, 48",Голосіївський,118.5,3,13,2017.0
573,4242003264.0,114999,3286.0,"вулиця Андрія Верхогляда, 14-А",Печерський,35.0,1,7,2019.0
574,4220029358.0,191230,1300.0,"Вишгородська вулиця, 45-Б/4",Подільський,147.1,3,14,2011.0
576,4134634294.0,159999,1232.0,"вулиця Генерала Генадія Воробйова, 13-Е",Солом’янський,129.9,4,13,2007.0
577,4238932889.0,190000,2000.0,"вулиця Алімпія Галика, 75-Д",Дарницький,95.0,3,8,2017.0
578,3864491964.0,550000,2000.0,"Володимирська вулиця, 6",Шевченківський,275.0,5,3,1876.0
579,3633003650.0,218900,2220.0,"Фортечний тупик, 7-Б",Печерський,98.61,3,6,2019.0
580,4125236515.0,186500,1711.0,"Лукʼянівський провулок, 2",Шевченківський,109.0,2,2,2023.0
582,3940567410.0,159500,2221.0,"проспект Любомира Гузара, 13",Солом’янський,71.8,2,12,2020.0
583,4044815546.0,159000,1702.0,"вулиця Ревуцького, 9",Дарницький,93.4,2,6,2014.0
584,4223759636.0,129500,2878.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,45.0,1,3,2023.0
586,4248838050.0,105000,1659.0,"вулиця Федора Ернста, 6",Солом’янський,63.3,2,11,2006.0
587,4020568597.0,210000,2234.0,"вулиця Михайла Донця, 2-А",Солом’янський,94.0,3,10,2017.0
588,3550524859.0,110000,1250.0,"вулиця Миколи Закревського, 95-В",Деснянський,88.0,3,18,2016.0
589,4144703384.0,125000,1838.0,"вулиця Михайла Бойчука, 41-Б",Печерський,68.0,2,10,2020.0
590,3640148680.0,79999,1133.0,"вулиця Гліба Бабіча, 8-Б",Дарницький,70.6,2,22,2021.0
591,4215888748.0,213818,4096.0,"Бульварно-Кудрявська вулиця, 17",Шевченківський,52.2,2,2,2021.0
592,3388194087.0,104000,2035.0,Золотоустівська вулиця,Шевченківський,51.1,1,6,2015.0
593,4152431719.0,87000,1863.0,"Половецька вулиця, 14-А",Шевченківський,46.7,2,9,1976.0
594,3907570739.0,99000,1414.0,"вулиця Олександра Мишуги, 2",Дарницький,70.0,2,7,2008.0
595,4156356086.0,150000,1667.0,"Метрологічна вулиця, 109-А",Голосіївський,90.0,3,3,2014.0
597,3924203119.0,105000,1544.0,"провулок Кучмин Яр, 4",Солом’янський,68.0,2,3,2021.0
598,3996957599.0,972520,3199.0,"провулок Кучмин Яр, 4",Солом’янський,304.0,4,5,2021.0
599,4212495922.0,220000,2000.0,"вулиця Антоновича, 72",Голосіївський,110.0,2,4,2010.0
601,4211767809.0,80000,2222.0,"Столичне шосе, 5",Голосіївський,36.0,1,7,2024.0
603,4137033015.0,132490,1893.0,"Тираспольська вулиця, 58",Подільський,70.0,2,7,2019.0
604,3972660413.0,135000,1985.0,"Феодосійський провулок, 14-А",Голосіївський,68.0,2,21,2007.0
605,4039962743.0,84998,1848.0,"вулиця Євгена Коновальця, 15 к3",Печерський,46.0,2,2,1972.0
606,3702959883.0,77000,1122.0,"вулиця Миколи Ушакова, 20-А",Святошинський,68.61,3,1,1998.0
607,4136428438.0,110500,2331.0,"вулиця Олександра Олеся, 8/17",Подільський,47.4,1,24,2022.0
609,4207918234.0,55000,1467.0,"вулиця Олега Мудрака, 1-Б",Святошинський,37.5,1,13,2025.0
610,4220137064.0,225000,1829.0,"Мокра вулиця, 16",Солом’янський,123.0,3,2,2011.0
611,2710053063.0,113000,1687.0,"Каховська вулиця, 62-А",Дніпровський,67.0,2,25,2020.0
612,3032408764.0,65000,2097.0,"Каховська вулиця, 62-А",Дніпровський,31.0,1,25,2020.0
613,4235897663.0,180000,1364.0,"вулиця Євгена Коновальця, 32-Г",Печерський,132.0,3,10,2005.0
615,4231701296.0,112000,2605.0,"вулиця Всеволода Змієнка, 34/21",Подільський,43.0,1,25,2023.0
616,4133578446.0,49500,1375.0,"вулиця Героїв Дніпра, 47",Оболонський,36.0,1,2,1979.0
617,3722086359.0,71900,1240.0,"Дніпроводська вулиця, 1-А",Оболонський,58.0,2,4,2021.0
618,4207823511.0,450000,4018.0,"вулиця Антоновича, 44",Голосіївський,112.0,3,8,2019.0
619,4235904397.0,78000,1814.0,"вулиця Олександра Олеся, Будинок 10.4",Подільський,43.0,1,17,2025.0
620,3296089592.0,999000,6487.0,"вулиця Михайла Грушевського, 9",Печерський,154.0,4,5,1935.0
621,3787843507.0,525000,2823.0,"Назарівська вулиця, 17",Шевченківський,186.0,3,4,1907.0
622,4188399015.0,45000,1360.0,"Березняківська вулиця, 20",Дніпровський,33.1,1,3,1971.0
624,3948226878.0,89000,1459.0,"вулиця Академіка Заболотного, 148-В",Голосіївський,61.0,2,3,2021.0
625,4129129369.0,110000,2115.0,"Метрологічна вулиця, 58",Голосіївський,52.0,1,2,2017.0
626,4056252017.0,87000,1148.0,"Деміївська вулиця, 53",Голосіївський,75.8,3,12,1981.0
627,4137593141.0,85000,1371.0,"Метрологічна вулиця, 107-А",Голосіївський,62.0,2,7,2022.0
628,4219170231.0,65000,1477.0,"Ружинська вулиця, 31",Шевченківський,44.0,2,2,1976.0
630,3995502482.0,285000,3904.0,"Велика Васильківська вулиця, 27",Печерський,73.0,1,3,1915.0
632,4015677498.0,57500,685.0,"Лютнева вулиця, Будинок 1",Дарницький,84.0,2,3,2016.0
633,3949085385.0,85000,1735.0,"Стадіонна вулиця, 13",Солом’янський,49.0,2,9,1983.0
634,4239797050.0,73500,967.0,"вулиця Архітектора Вербицького, 24",Дарницький,76.0,3,7,1985.0
636,4242840570.0,65000,2031.0,"Каховська вулиця, 62-А",Дніпровський,32.0,1,18,2020.0
637,3083781412.0,135000,1646.0,"вулиця Єлизавети Чавдар, 13",Дарницький,82.0,3,25,2013.0
638,4238931388.0,73000,2458.0,"Центральна вулиця, 21-А",Дарницький,29.7,1,6,2017.0
639,3935588601.0,310000,1824.0,"Дмитрівська вулиця, 69",Шевченківський,170.0,5,5,2014.0
640,4242796719.0,55000,1000.0,"вулиця Миколи Шепелєва, 6",Солом’янський,55.0,3,5,1963.0
641,3859784762.0,122000,1525.0,"вулиця Генерала Генадія Воробйова, 13-Е",Солом’янський,80.0,3,20,2007.0
642,3880853737.0,165000,3603.0,"вулиця Кахи Бендукідзе, 2",Печерський,45.8,1,6,2017.0
643,3354744910.0,115000,1285.0,"Дніпровська набережна, 17-К",Дарницький,89.5,3,13,2024.0
644,4031821619.0,380000,2639.0,"проспект Європейського Союзу, 49",Подільський,144.0,3,25,2022.0
645,3888022666.0,160000,1088.0,"вулиця Драгоманова, 17",Дарницький,147.0,5,10,1999.0
646,4238929593.0,73000,1973.0,"вулиця Софії Русової, 7",Дарницький,37.0,1,9,2017.0
647,4215299783.0,280000,4118.0,"вулиця Гетьмана Павла Скоропадського, 35-39",Голосіївський,68.0,2,13,2008.0
648,4207835328.0,425000,4250.0,"вулиця Антоновича, 44",Голосіївський,100.0,2,14,2019.0
649,4248674067.0,335000,3350.0,"вулиця Хрещатик, 25",Печерський,100.0,4,2,1954.0
651,2730802851.0,140000,1818.0,"Казарменна вулиця, 6-Г",Шевченківський,77.0,2,1,2014.0
653,3840989376.0,215000,2622.0,"вулиця Панаса Мирного, 14",Печерський,82.0,2,5,2003.0
654,4242177830.0,100000,2128.0,"вулиця Вільгельма Котарбінського, 8",Шевченківський,47.0,2,4,1914.0
655,4246312713.0,99624,2265.0,"Польова вулиця, 73",Солом’янський,44.0,1,3,2021.0
658,3970575317.0,73000,1431.0,"вулиця Кубанської України, 31-А",Деснянський,51.0,1,13,2007.0
659,3880794630.0,130000,2675.0,"Зарічна вулиця, 6",Дарницький,48.6,2,9,2021.0
661,3917094971.0,86000,1654.0,"вулиця Дмитра Луценка, 5",Голосіївський,52.0,2,8,1980.0
663,3899969110.0,85000,1393.0,"вулиця Івана Виговського, 12-К",Подільський,61.0,2,9,2021.0
664,4248881444.0,48000,1200.0,"вулиця Архітектора Вербицького, 4",Дарницький,40.0,1,4,1988.0
665,4242092513.0,115000,2674.0,"вулиця Всеволода Змієнка, 34/21",Подільський,43.0,1,9,2023.0
666,4242003929.0,118900,2765.0,"вулиця Всеволода Змієнка, 30",Подільський,43.0,1,10,2023.0
667,4192636365.0,110000,2683.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,41.0,1,6,2023.0
668,4078197884.0,112000,2732.0,"вулиця Михайла Максимовича, 28-К",Голосіївський,41.0,1,7,2024.0
669,4015863333.0,110000,827.0,"вулиця Сергія Данченка, 28-Б",Подільський,133.0,5,9,2016.0
670,4129462437.0,175000,1591.0,"проспект Науки, 30",Голосіївський,110.0,3,4,2009.0
671,3657559883.0,58000,892.0,"вулиця Рональда Рейгана, 32",Деснянський,65.0,3,3,1985.0
672,4241898331.0,117000,1182.0,"Причальна вулиця, 8",Дарницький,99.0,3,20,2025.0
675,4164955237.0,39990,1290.0,"вулиця Івана Дзюби, 8",Святошинський,31.0,1,5,1969.0
676,4152458971.0,119500,2779.0,"вулиця Всеволода Змієнка, 30",Подільський,43.0,1,5,2025.0
678,3468326859.0,69900,1748.0,"вулиця Юрія Кондратюка, 3",Оболонський,40.0,1,26,2015.0
679,4243132267.0,114000,2651.0,"вулиця Олександра Олеся, 5-А",Подільський,43.0,1,15,2023.0
680,4154421447.0,62000,1512.0,"Метрологічна вулиця, 107-А",Голосіївський,41.0,1,5,2022.0
681,4157111663.0,125900,3071.0,"вулиця Михайла Максимовича, 28-Д",Голосіївський,41.0,1,10,2020.0
682,2708852300.0,249900,1755.0,"Мокра вулиця, 16",Солом’янський,142.4,4,19,2007.0
685,4241895925.0,88000,1517.0,"Дніпровська набережна, 15-Д",Дарницький,58.0,2,13,2023.0
687,4187577136.0,58000,1758.0,"Оболонський проспект, 16",Оболонський,33.0,1,8,1976.0
688,4027853837.0,105000,2625.0,"Вірменська вулиця, 8",Дарницький,40.0,1,5,2023.0
690,3803754737.0,240000,1860.0,"вулиця Олександра Мишуги, 12",Дарницький,129.0,4,3,2010.0
691,4215752928.0,90000,968.0,"вулиця Мирослава Поповича, 21",Святошинський,93.0,4,5,1970.0
692,4168758932.0,108000,1227.0,"вулиця Всеволода Змієнка, 34/21",Подільський,88.0,3,7,2023.0
693,3995986211.0,95000,1203.0,"вулиця Всеволода Змієнка, 34/21",Подільський,79.0,3,3,2023.0
694,4137239106.0,106500,1664.0,"Велика Васильківська вулиця, 58",Голосіївський,64.0,2,7,1958.0
695,4098017049.0,112800,2686.0,"вулиця Олександра Олеся, Будинок 7.8",Подільський,42.0,1,13,2025.0
696,3937626408.0,159600,2418.0,"вулиця Всеволода Змієнка, Будинок 7.8",Подільський,66.0,2,4,2025.0
697,4245395321.0,237000,2098.0,"Щекавицька вулиця, Будинок",Подільський,112.96,3,6,2025.0
699,4044558884.0,75000,1705.0,"вулиця Всеволода Змієнка, Будинок 10.3",Подільський,44.0,1,4,2023.0
701,4149065562.0,85000,1049.0,"вулиця Митрополита Василя Липківського, 37",Солом’янський,81.0,3,8,1971.0
702,4236085912.0,219000,1752.0,"вулиця Левка Лукʼяненка, 21к2",Оболонський,125.0,3,11,2005.0
703,3409791664.0,290000,3625.0,"Золотоустівська вулиця, 34",Шевченківський,80.0,2,8,2017.0
705,3774397540.0,123499,1470.0,"Дніпровська набережна, 15-Є",Дарницький,84.0,2,20,2023.0
706,4024687596.0,160000,2424.0,"вулиця Михайла Максимовича, 24-Б",Голосіївський,66.0,2,2,2019.0
707,4132982033.0,360000,2195.0,"Бульварно-Кудрявська вулиця, 36",Шевченківський,164.0,3,5,2004.0
708,4149065562.0,85000,1049.0,"вулиця Митрополита Василя Липківського, 37",Солом’янський,81.0,3,8,1971.0
709,3522213545.0,410000,3417.0,"вулиця Андрія Верхогляда, 16-Б",Печерський,120.0,3,3,2014.0
711,4236043984.0,165000,2500.0,"бульвар Тадея Рильського, 4",Голосіївський,66.0,3,8,2022.0
713,4040384331.0,85000,1349.0,"Берестейський проспект, 45",Солом’янський,63.0,2,4,1940.0
714,3681553999.0,144850,2541.0,"Мокра вулиця, 8-Б",Солом’янський,57.0,1,12,2024.0
715,3949213550.0,79990,1789.0,"вулиця Івана Федорова, 9",Печерський,44.7,2,9,1980.0
717,4126292949.0,130000,2600.0,"Ярославська вулиця, 30",Подільський,50.0,2,3,1955.0
718,3983875138.0,187500,2679.0,"вулиця Олександра Олеся, 5",Подільський,70.0,2,12,2023.0
719,3658252095.0,199000,930.0,"вулиця Анни Ахматової, 30",Дарницький,214.0,6,23,2013.0
720,3815129014.0,116999,1481.0,"Причальна вулиця, 14",Дарницький,79.0,2,18,2021.0
721,3289553165.0,56500,991.0,"вулиця Миколи Кибальчича, 1-Г",Дніпровський,57.0,2,20,2022.0
722,4020813581.0,330000,4342.0,"вулиця Лисенка, 1",Шевченківський,76.0,2,3,1893.0
723,4223360194.0,78000,1472.0,"вулиця Ольжича, 17-А",Шевченківський,53.0,3,4,1961.0
724,4236363194.0,115000,1691.0,"вулиця Антоновича, 88",Голосіївський,68.0,2,3,1991.0
725,4124863494.0,117999,1405.0,"Дніпровська набережна, 15-Д",Дарницький,84.0,2,18,2023.0
727,3361737599.0,280000,3531.0,"вулиця Антоновича, 109",Голосіївський,79.3,2,15,2021.0
728,3952258277.0,129997,1429.0,"Причальна вулиця, 8",Дарницький,91.0,2,25,2025.0
729,4052847523.0,55000,1410.0,"Саперно-Слобідська вулиця, 22",Голосіївський,39.0,1,20,2008.0
730,4036071673.0,96999,1426.0,"Причальна вулиця, 8",Дарницький,68.0,2,20,2025.0
733,3979028726.0,57000,2794.0,"вулиця Михайла Максимовича, 26-Б",Голосіївський,20.4,1,2,2020.0
734,4248867561.0,250000,3049.0,"Микільсько-Слобідська вулиця, 3-Б",Дніпровський,82.0,2,4,2020.0
735,3834841718.0,70000,2258.0,"Каховська вулиця, 62-А",Дніпровський,31.0,1,20,2020.0
736,3443911892.0,110000,1549.0,"Дніпровська набережна, 13",Дніпровський,71.0,3,2,1993.0
738,4138229920.0,123997,1771.0,"Причальна вулиця, 10",Дарницький,70.0,2,3,2024.0
740,4238915049.0,170000,2267.0,"вулиця Ревуцького, 40-Г",Дарницький,75.0,3,20,2018.0
741,4252426588.0,65000,1413.0,"Загорівська вулиця, 25",Шевченківський,46.0,1,15,2021.0
742,672800618.0,180000,3000.0,"Тарасівська вулиця, 6-А",Голосіївський,60.0,2,4,1917.0
744,4081813978.0,210000,2258.0,"Воздвиженська вулиця, 50",Подільський,93.0,3,5,2013.0
747,4160820998.0,130000,2453.0,"Берестейський проспект, 11 к1",Шевченківський,53.0,2,33,2021.0
748,4220466701.0,260000,1831.0,"вулиця Генерала Шаповала, 2",Солом’янський,142.0,3,6,2010.0
749,4167953981.0,112500,1480.0,"Дніпровська набережна, 15-К",Дарницький,76.0,2,12,2021.0
750,4172708132.0,119000,1608.0,"вулиця Євгена Сверстюка, 6-Е",Дніпровський,74.0,2,21,2021.0
751,4187681327.0,94000,1958.0,"Дніпровська набережна, 15-Ж",Дарницький,48.0,1,18,2023.0
752,4086251987.0,73990,902.0,"Підлісна вулиця, 2",Святошинський,82.0,3,9,1987.0
753,3859737391.0,55000,1447.0,"проспект Академіка Глушкова, 15",Голосіївський,38.0,1,19,1986.0
754,4007681802.0,124000,1746.0,"проспект Павла Тичини, 8",Дніпровський,71.0,3,16,1995.0
755,3883266215.0,41000,872.0,"Харківське шосе, 21/3",Дарницький,47.0,2,7,1967.0
756,3786674386.0,159000,1097.0,"вулиця Родини Крістерів, 16",Подільський,145.0,4,13,2024.0
759,4001263708.0,93000,1500.0,"Дніпровська набережна, 15-Є",Дарницький,62.0,1,2,2023.0
760,3974945390.0,49999,1429.0,"вулиця Ентузіастів, 31",Дніпровський,35.0,1,2,1966.0
761,2513895347.0,289000,2312.0,"Старонаводницька вулиця, 6-Б",Печерський,125.0,3,12,2014.0
762,4033001738.0,122000,1743.0,"Дніпровська набережна, 15-Є",Дарницький,70.0,2,3,2023.0
763,1000728077.0,425000,4293.0,"вулиця Антоновича, 44",Голосіївський,99.0,2,14,2019.0
765,3699445308.0,75000,1190.0,"Каховська вулиця, 62-А",Дніпровський,63.0,2,25,2020.0
766,4245500327.0,89900,2430.0,"вулиця Академіка Заболотного, 1-Б",Голосіївський,37.0,1,29,2021.0
767,4238621861.0,227000,1908.0,"вулиця Вʼячеслава Чорновола, 29-А",Шевченківський,119.0,3,7,2013.0
768,4032238674.0,107000,1305.0,"Причальна вулиця, 14",Дарницький,82.0,3,12,2021.0
771,4031588499.0,175000,2465.0,"Дніпровська набережна, 15-Д",Дарницький,71.0,2,8,2023.0
772,3803022203.0,144000,1500.0,"вулиця Ованеса Туманяна, 15-А",Дніпровський,96.0,2,17,2010.0
773,3405125079.0,389900,1864.0,"вулиця Ярославів Вал, 13",Шевченківський,209.2,4,5,1915.0
774,4238553859.0,45000,1385.0,"вулиця Михайла Брайчевського, 13",Солом’янський,32.5,1,3,1974.0
775,4208225550.0,209000,2090.0,"Берестейський проспект, 42а",Шевченківський,100.0,3,7,2022.0
776,4237413943.0,100000,876.0,"вулиця Володимира Сосюри, 6-Б",Дніпровський,114.2,2,25,2025.0
777,4180572905.0,71000,989.0,"Тростянецька вулиця, 8",Дарницький,71.8,3,2,1986.0
778,3937451661.0,78500,1308.0,вулиця Михайла Максимовича,Голосіївський,60.0,2,20,2025.0
779,3937183058.0,65000,1585.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,41.0,1,19,2025.0
780,3945718214.0,63535,1550.0,вулиця Михайла Максимовича,Голосіївський,41.0,1,16,2025.0
781,4221252374.0,57000,1966.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,29.0,1,19,2025.0
782,4252493930.0,65000,1383.0,"Загорівська вулиця, 25",Шевченківський,47.0,1,15,2021.0
783,4245618358.0,91000,2000.0,"вулиця Юлії Здановської, 50/2",Голосіївський,45.5,1,4,2014.0
784,3995938847.0,160000,2635.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,60.71,2,17,2025.0
786,4168363642.0,71000,1511.0,"вулиця Генерала Генадія Воробйова, 8-А",Солом’янський,47.0,2,7,1966.0
787,4044448875.0,680000,3778.0,"вулиця Андрія Верхогляда, 9",Печерський,180.0,3,6,2013.0
788,3701811772.0,2299000,10844.0,"Лютеранська вулиця, 14в",Печерський,212.0,4,12,2023.0
789,4129160025.0,49999,1250.0,"вулиця Архітектора Вербицького, 4",Дарницький,40.0,1,2,1988.0
790,4020636684.0,105800,1392.0,"вулиця Михайла Максимовича, 24-Б",Голосіївський,76.0,2,4,2019.0
793,4224428942.0,109000,2659.0,"вулиця Михайла Максимовича, 28-К",Голосіївський,41.0,1,7,2024.0
794,3908504369.0,50150,1729.0,"вулиця Михайла Максимовича, 28-К",Голосіївський,29.0,1,21,2024.0
795,4188675867.0,60700,1480.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,41.0,1,21,2023.0
796,3917572361.0,80000,1702.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,47.0,1,3,2025.0
798,4180218537.0,109998,1467.0,"Дніпровська набережна, 17-К",Дарницький,75.0,2,13,2024.0
799,4153152130.0,121000,1704.0,"Дніпровська набережна, 15-Ж",Дарницький,71.0,2,21,2023.0
800,4169031873.0,315000,3841.0,"Болсуновська вулиця, 2",Печерський,82.0,2,12,2013.0
801,4238888361.0,220000,2000.0,"вулиця Антоновича, 72",Голосіївський,110.0,2,4,2010.0
802,4212336336.0,125000,1506.0,"вулиця Князя Романа Мстиславича, 22",Дніпровський,83.0,3,13,2024.0
803,4236170993.0,120000,1502.0,"вулиця Ревуцького, 40-Г",Дарницький,79.9,2,25,2018.0
804,3963925133.0,107900,2346.0,"вулиця Віктора Некрасова, 8",Подільський,46.0,1,19,2022.0
805,4245330237.0,76900,1437.0,"Львівська вулиця, 15",Святошинський,53.5,2,26,2020.0
806,4091207293.0,190000,1520.0,"проспект Європейського Союзу, 41-А",Подільський,125.0,4,25,2019.0
807,4129300995.0,113000,2354.0,"вулиця Івана Виговського, 10-Л",Подільський,48.0,1,8,2022.0
808,4129434554.0,89997,1023.0,"Урлівська вулиця, 23-Б",Дарницький,88.0,3,25,2013.0
809,4211207838.0,135000,1724.0,"вулиця Михайла Максимовича, 3-Г",Голосіївський,78.3,2,8,2012.0
810,4245167390.0,38700,1248.0,"вулиця Академіка Шалімова, 7-Б",Солом’янський,31.0,1,1,1965.0
811,4044448875.0,680000,3778.0,"вулиця Андрія Верхогляда, 9",Печерський,180.0,3,6,2013.0
813,3888526168.0,170000,2833.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,60.0,3,4,2020.0
814,3995938847.0,160000,2635.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,60.71,2,17,2025.0
815,4211207838.0,135000,1724.0,"вулиця Михайла Максимовича, 3-Г",Голосіївський,78.3,2,8,2012.0
816,4091207293.0,190000,1520.0,"проспект Європейського Союзу, 41-А",Подільський,125.0,4,25,2019.0
817,4129300995.0,113000,2354.0,"вулиця Івана Виговського, 10-Л",Подільський,48.0,1,8,2022.0
819,4129434554.0,89997,1023.0,"Урлівська вулиця, 23-Б",Дарницький,88.0,3,25,2013.0
820,4245330237.0,76900,1437.0,"Львівська вулиця, 15",Святошинський,53.5,2,26,2020.0
821,4179681885.0,63500,1814.0,"Причальна вулиця, 14",Дарницький,35.0,1,19,2021.0
822,4188675867.0,60700,1480.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,41.0,1,21,2023.0
823,4184223806.0,87000,1208.0,"вулиця Митрополита Василя Липківського, 13",Солом’янський,72.0,3,3,1968.0
825,4227420665.0,115000,1533.0,"вулиця Юрія Липи, 6",Дніпровський,75.0,3,2,2023.0
826,4129160025.0,49999,1250.0,"вулиця Архітектора Вербицького, 4",Дарницький,40.0,1,2,1988.0
827,4020150241.0,67000,1634.0,"вулиця Михайла Максимовича, 28-К",Голосіївський,41.0,1,15,2024.0
828,3917471218.0,61500,1757.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,35.0,1,3,2025.0
829,4020636684.0,105800,1392.0,"вулиця Михайла Максимовича, 24-Б",Голосіївський,76.0,2,4,2019.0
831,4224428942.0,109000,2659.0,"вулиця Михайла Максимовича, 28-К",Голосіївський,41.0,1,7,2024.0
832,3908504369.0,50150,1729.0,"вулиця Михайла Максимовича, 28-К",Голосіївський,29.0,1,21,2024.0
833,3917572361.0,80000,1702.0,"вулиця Михайла Максимовича, 24-Г",Голосіївський,47.0,1,3,2025.0
834,4245618358.0,91000,2000.0,"вулиця Юлії Здановської, 50/2",Голосіївський,45.5,1,4,2014.0
835,4168363642.0,71000,1511.0,"вулиця Генерала Генадія Воробйова, 8-А",Солом’янський,47.0,2,7,1966.0
836,4252493930.0,65000,1383.0,"Загорівська вулиця, 25",Шевченківський,47.0,1,15,2021.0
837,4248777199.0,175000,3070.0,"вулиця Антоновича, 74",Голосіївський,57.0,1,4,2018.0
838,4242380669.0,143000,3326.0,"Костанайська вулиця, 13",Голосіївський,43.0,1,11,2021.0
840,4138324940.0,164000,2278.0,"вулиця Родини Крістерів, 2",Подільський,72.0,2,11,2025.0
841,3812371898.0,57500,1797.0,"вулиця Кадетський Гай, 10",Солом’янський,32.0,1,24,2021.0
842,4044655325.0,165000,1792.0,"Вишгородська вулиця, 45-А/5",Подільський,92.1,2,17,2009.0
843,4245167390.0,38700,1248.0,"вулиця Академіка Шалімова, 7-Б",Солом’янський,31.0,1,1,1965.0
844,4188554642.0,90000,1525.0,"вулиця Михайла Максимовича, Будинок «Престон»",Голосіївський,59.0,2,2,2025.0
846,4216481439.0,119000,2902.0,"вулиця Михайла Максимовича, Будинок «Віндзор»",Голосіївський,41.0,1,8,2024.0
847,4197154969.0,113000,2756.0,"вулиця Михайла Максимовича, Будинок «Віндзор»",Голосіївський,41.0,1,14,2024.0
849,4075324631.0,72000,1286.0,"вулиця Академіка Заболотного, Будинок 4",Голосіївський,56.0,2,4,2021.0
850,4024267446.0,131500,1604.0,"вулиця Саксаганського, 80",Голосіївський,82.0,2,6,2020.0
854,4235884575.0,70000,1628.0,"вулиця Івана Виговського, Будинок 10.5",Подільський,43.0,1,15,1965.0
855,2415653635.0,650000,4643.0,"бульвар Тараса Шевченка, 11",Шевченківський,140.0,3,9,2005.0
856,4048848389.0,175000,2303.0,"проспект Володимира Івасюка, 2-Д",Оболонський,76.0,2,5,2017.0
857,4227883113.0,290000,3537.0,"вулиця Михайла Бойчука, 41-Б",Печерський,82.0,2,14,2020.0
858,4249485990.0,70000,824.0,"проспект Миколи Бажана, 26",Дарницький,85.0,3,14,2000.0
859,4243414698.0,71000,1835.0,"вулиця Степана Рудницького, 8-Є",Голосіївський,38.7,1,3,2014.0
860,4235741583.0,175000,1944.0,"Велика Васильківська вулиця, 42",Голосіївський,90.0,3,3,1938.0
861,4078869428.0,56500,1202.0,"бульвар Верховної Ради, 8/20",Дніпровський,47.0,2,9,1966.0
862,4056104928.0,120000,1500.0,"вулиця Віктора Некрасова, 10",Подільський,80.0,3,21,2023.0
863,4105534781.0,289000,3284.0,"Золотоустівська вулиця, 25",Шевченківський,88.0,3,17,2021.0
864,4048848389.0,175000,2303.0,"проспект Володимира Івасюка, 2-Д",Оболонський,76.0,2,5,2017.0
865,4227883113.0,290000,3537.0,"вулиця Михайла Бойчука, 41-Б",Печерський,82.0,2,14,2020.0
867,4245897259.0,75000,1728.0,"вулиця Олександра Олеся, Будинок 10.4",Подільський,43.4,1,8,2025.0
869,3911918776.0,215000,1792.0,"Паньківська вулиця, 27/78",Голосіївський,120.0,3,10,2010.0
870,4195503486.0,42000,1135.0,"проспект Червоної Калини, 32-А",Деснянський,37.0,1,5,1983.0
873,4161041153.0,550000,4231.0,"вулиця Андрія Верхогляда, 17",Печерський,130.0,3,22,2020.0
874,4242160417.0,770000,5385.0,"вулиця Саперне Поле, 5",Печерський,143.0,3,10,2019.0
875,4242205835.0,150000,3125.0,"Дніпровська набережна, 15-Є",Дарницький,48.0,1,21,2023.0
877,4235320943.0,33300,1514.0,"проспект Павла Тичини, 5/1",Дніпровський,22.0,1,9,1969.0
879,3568022701.0,800000,4571.0,"Микільсько-Слобідська вулиця, 3-Б",Дніпровський,175.0,5,30,2020.0
880,4188561680.0,220000,3607.0,"вулиця Андрія Верхогляда, 20",Печерський,61.0,2,13,2014.0
881,4157471176.0,299000,1699.0,"проспект Валерія Лобановського, 4-Г",Солом’янський,176.0,4,14,2015.0
882,4132923808.0,79500,1590.0,"проспект Науки, 69",Голосіївський,50.0,1,14,2008.0
883,3816272673.0,65000,1448.0,"Конча-Заспинська вулиця, 12",Голосіївський,44.9,1,12,2014.0
884,4129705907.0,216000,2227.0,"Берестейський проспект, 42а",Шевченківський,97.0,3,12,2022.0
885,4248542204.0,115000,2949.0,"вулиця Вʼячеслава Чорновола, 27",Шевченківський,39.0,1,7,2013.0
886,3831353586.0,105000,1479.0,"проспект Соборності, 30",Дніпровський,71.0,2,29,2014.0
887,3879106024.0,298000,3170.0,"Ярославський провулок, 7/9",Подільський,94.0,2,6,2007.0
888,4207058692.0,48000,1714.0,"вулиця Коперника, 10",Шевченківський,28.0,1,8,1978.0
