,Id,Price_main,Price_for_m2,Address,district,area,rooms,floor,build_year
205,4168028621.0,640000,5000.0,"Берестейський проспект, 42а",Шевченківський,128.0,3,19,2022.0
206,3342938559.0,850000,3346.0,"вулиця Андрія Верхогляда, 9",Печерський,254.0,3,29,2013.0
207,3786890280.0,95000,2065.0,"Коломийський провулок, 11",Голосіївський,46.0,2,3,1964.0
208,3702225568.0,125000,1374.0,"Причальна вулиця, 8",Дарницький,91.0,3,6,2025.0
209,4236628550.0,188000,2265.0,"вулиця Шота Руставелі, 44",Печерський,83.0,2,3,2005.0
210,3883649284.0,499000,5940.0,"вулиця Іоанна Павла II, 12",Печерський,84.0,2,12,2020.0
211,3763517983.0,265000,3397.0,"вулиця Антоновича, 74",Голосіївський,78.0,3,15,2018.0
212,4210452408.0,175000,2134.0,"вулиця Михайла Максимовича, 3-Г",Голосіївський,82.0,2,8,2012.0
213,4247988195.0,139999,1750.0,"вулиця Кадетський Гай, 10",Солом’янський,80.0,3,20,2021.0
214,4239165952.0,90000,2344.0,"Салютна вулиця, 2к7",Шевченківський,38.4,1,3,2021.0
215,4252450504.0,66000,1091.0,"Клавдіївська вулиця, 34",Святошинський,60.5,3,3,1974.0
216,3883649284.0,499000,5940.0,"вулиця Іоанна Павла II, 12",Печерський,84.0,2,12,2020.0
217,4239165952.0,90000,2344.0,"Салютна вулиця, 2к7",Шевченківський,38.4,1,3,2021.0
220,3815684752.0,98000,1167.0,"Причальна вулиця, 12",Дарницький,84.0,2,19,2021.0
221,4224438137.0,96000,1882.0,"Білоруська вулиця, 30-А",Шевченківський,51.0,2,1,1975.0
222,4246285829.0,89000,1435.0,"вулиця Олени Пчілки, 3-В",Дарницький,62.0,2,25,2017.0
223,4087104522.0,103500,1549.0,"вулиця Всеволода Змієнка, Будинок 7.8",Подільський,66.8,2,24,2025.0
226,4082452765.0,119000,1352.0,"Срібнокільська вулиця, 1",Дарницький,88.0,2,4,2007.0
227,4236275579.0,475000,4481.0,"Бульварно-Кудрявська вулиця, 17-А",Шевченківський,106.0,3,4,2021.0
228,3730706715.0,89500,1209.0,"Причальна вулиця, 10",Дарницький,74.0,2,5,2024.0
229,4137903347.0,242000,3559.0,"Салютна вулиця, 2к6",Шевченківський,68.0,2,5,2021.0
232,3923868129.0,155000,3100.0,"Прорізна вулиця, 10",Шевченківський,50.0,2,9,1955.0
233,3159382040.0,110000,1100.0,"вулиця Олександра Кошиця, 7-А",Дарницький,100.0,3,12,1999.0
234,4024441239.0,60000,2027.0,"вулиця Кадетський Гай, 10",Солом’янський,29.6,1,8,2021.0
235,4082477152.0,96000,2182.0,"вулиця Драгоманова, 10",Дарницький,44.0,1,3,2019.0
236,2789916658.0,595000,4760.0,"вулиця Джона Маккейна, 3-А",Печерський,125.0,3,20,2019.0
237,4251740833.0,195000,3299.0,"вулиця Хрещатик, 29",Печерський,59.1,2,5,1954.0
238,4012821259.0,300000,3226.0,ЖК Паркове місто,Київ,93.0,3,18,2015.0
239,4106303583.0,57000,1371.0,ЖК Теремки,Київ,41.59,1,24,2019.0
240,4235613445.0,143000,1414.0,ЖК Navigator,Київ,101.1,3,3,2020.0
241,4153615992.0,134000,1605.0,🏡 Сонячна,Київ,83.5,2,9,2006.0
242,3711691699.0,175000,1728.0,ЖК Ліко-Град 3,Київ,101.3,3,7,2012.0
243,3692398254.0,86000,1323.0,"Урлівська вулиця, 9",Дарницький,65.0,2,16,2003.0
244,3651905063.0,270000,3649.0,"Салютна вулиця, 2к23",Шевченківський,74.0,3,4,2025.0
246,4179506585.0,67000,1718.0,"Урлівська вулиця, 23-А",Дарницький,39.0,1,16,2012.0
247,4156734384.0,105000,1615.0,"Воскресенська вулиця, 16-Г",Дніпровський,65.0,2,1,2015.0
248,3828829608.0,346000,3761.0,"вулиця Михайла Бойчука, 19-А",Печерський,92.0,3,3,2021.0
249,3829353485.0,68000,1478.0,"Дегтярівська вулиця, 15",Шевченківський,46.0,2,2,1977.0
252,4248636649.0,88000,2047.0,"вулиця Єлизавети Чавдар, 7",Дарницький,43.0,1,11,2013.0
253,4024775414.0,69500,1580.0,"Вишгородська вулиця, 45-Ж",Подільський,44.0,1,5,2015.0
255,4024750311.0,69990,1591.0,"Вишгородська вулиця, 45-Ж",Подільський,44.0,1,13,2024.0
256,3988428115.0,83900,1149.0,"Коноплянська вулиця, 22-Б",Оболонський,73.0,2,12,2024.0
258,3987360178.0,185000,1562.0,"вулиця Михайла Гришка, 9",Дарницький,118.4,3,22,2006.0
259,4245479439.0,66000,1082.0,"Балтійський провулок, 3",Оболонський,61.0,1,6,2020.0
260,4196303910.0,65000,1422.0,"вулиця Віктора Некрасова, 10",Подільський,45.7,1,14,2023.0
261,4236194176.0,125000,1984.0,"вулиця Олега Мудрака, 1-Б",Святошинський,63.0,2,26,2025.0
262,4035699430.0,86900,999.0,"вулиця Михайла Гришка, 8-А",Дарницький,87.0,4,9,1998.0
263,3841116369.0,225000,2078.0,"вулиця Коперника, 3",Шевченківський,108.3,3,4,2017.0
264,4212043170.0,310000,3298.0,"Велика Васильківська вулиця, 14",Шевченківський,94.0,2,6,1914.0
265,4136698023.0,494000,3031.0,"Тарасівська вулиця, 9-В",Голосіївський,163.0,4,9,2014.0
266,4199506016.0,66990,1116.0,"Балтійський провулок, 3",Оболонський,60.0,1,5,2020.0
267,3714942975.0,55000,1250.0,"вулиця Радистів, 40",Деснянський,44.0,1,5,2022.0
268,4242140880.0,180000,2609.0,"вулиця Євгена Сверстюка, 6",Дніпровський,69.0,3,21,2019.0
269,4248786147.0,208000,4160.0,"Михайлівська вулиця, 6",Шевченківський,50.0,1,2,1870.0
271,4160271847.0,120000,1224.0,"вулиця Сергія Данченка, 5",Подільський,98.0,3,15,2016.0
273,4194557304.0,254000,2822.0,"Олегівська вулиця, 1",Шевченківський,90.0,4,2,2020.0
274,4212043170.0,310000,3298.0,"Велика Васильківська вулиця, 14",Шевченківський,94.0,2,6,1914.0
275,4136697420.0,438000,3650.0,"вулиця Хрещатик, 6",Шевченківський,120.0,3,9,1965.0
276,4136698023.0,494000,3031.0,"Тарасівська вулиця, 9-В",Голосіївський,163.0,4,9,2014.0
277,4199506016.0,66990,1116.0,"Балтійський провулок, 3",Оболонський,60.0,1,5,2020.0
279,4250102881.0,51000,1085.0,"вулиця Ентузіастів, 15",Дніпровський,47.0,2,8,1967.0
280,4223557795.0,55000,891.0,"вулиця Ірини Бекешкіної, 8",Дніпровський,61.7,2,1,1964.0
281,4152332112.0,65000,1912.0,"вулиця Антоновича, 97",Голосіївський,34.0,1,6,1971.0
282,3986941064.0,85000,1466.0,"Вишгородська вулиця, 45-Г",Подільський,58.0,1,4,2022.0
283,4242485488.0,40000,1429.0,"проспект Миру, 12",Дніпровський,28.0,1,1,1963.0
285,4235138103.0,56000,1556.0,"Берковецька вулиця, 6-Б",Святошинський,36.0,1,7,2021.0
286,4242176254.0,595000,3005.0,"вулиця Андрія Верхогляда, 7",Печерський,198.0,5,28,2013.0
287,3986997354.0,440000,4314.0,"Предславинська вулиця, 40",Печерський,102.0,3,16,2017.0
288,4138078645.0,165000,1626.0,"Регенераторна вулиця, 4 к7",Дніпровський,101.5,3,9,2014.0
289,4242392513.0,199000,2287.0,"Фортечний тупик, 7в",Печерський,87.0,2,7,2024.0
290,4180202293.0,94000,1760.0,"проспект Академіка Глушкова, 9-В",Голосіївський,53.4,1,8,2016.0
291,4252026945.0,52000,1486.0,"вулиця Левка Лукʼяненка, 1",Оболонський,35.0,1,2,1975.0
293,4168279940.0,95000,826.0,"вулиця Бориса Гмирі, 5",Дарницький,115.0,4,5,1996.0
294,4248712972.0,168000,3862.0,"Предславинська вулиця, 55",Печерський,43.5,2,4,2017.0
295,3828333542.0,159000,2650.0,"Велика Житомирська вулиця, 31",Шевченківський,60.0,2,4,1917.0
296,4016502874.0,55000,1897.0,"вулиця Алімпія Галика, 75",Дарницький,29.0,1,2,2022.0
297,3730076540.0,270000,1598.0,"проспект Валерія Лобановського, 6-В",Солом’янський,169.0,3,25,2009.0
298,4248472502.0,71000,1775.0,"Предславинська вулиця, 25",Печерський,40.0,1,11,1982.0
300,4245603595.0,58000,781.0,"проспект Червоної Калини, 71",Деснянський,74.3,3,15,1989.0
301,4164105708.0,60000,1000.0,"проспект Павла Тичини, 3",Дніпровський,60.0,3,3,1968.0
302,4133695218.0,45000,1047.0,"вулиця Миколи Шепелєва, 6",Солом’янський,43.0,2,5,1963.0
303,3912359726.0,75000,909.0,"вулиця Миколи Лаврухіна, 7",Деснянський,82.5,3,8,1996.0
304,4234993259.0,50000,1567.0,"Русанівська набережна, 12/1",Дніпровський,31.9,1,1,1965.0
306,4195112544.0,370000,2467.0,"вулиця Юлії Здановської, 73-Г",Голосіївський,150.0,4,11,2011.0
307,4000205537.0,130460,2372.0,"бульвар Лесі Українки, 7-Б",Печерський,55.0,1,5,2012.0
308,4246351159.0,195000,2321.0,"вулиця Олександра Олеся, 17",Подільський,84.0,3,20,2025.0
309,4248637367.0,138000,2226.0,"Метрологічна вулиця, 107-А",Голосіївський,62.0,2,7,2022.0
310,3730364776.0,270000,4821.0,"Предславинська вулиця, 40",Печерський,56.0,2,10,2017.0
313,4245898100.0,86999,1087.0,"вулиця Героїв Дніпра, 32-Б",Оболонський,80.0,3,2,1978.0
314,4245930566.0,72000,1636.0,"вулиця Левка Лукʼяненка, 2/4",Оболонський,44.0,1,16,2003.0
315,3994974643.0,76000,1723.0,"бульвар Лесі Українки, 24-Б",Печерський,44.1,2,4,1965.0
316,4239261602.0,62000,1292.0,"вулиця Івана Виговського, 24-А",Подільський,48.0,2,4,1973.0
317,4233398347.0,38500,1283.0,"бульвар Павла Вірського, 10-А",Шевченківський,30.0,1,4,1960.0
318,4241561160.0,89000,1328.0,"проспект Валерія Лобановського, 6-А",Солом’янський,67.0,1,5,2014.0
319,4235153279.0,100000,1282.0,"вулиця Дмитра Чижевського, 2-А",Святошинський,78.0,3,3,1997.0
320,3485354805.0,245000,2076.0,"проспект Миколи Бажана, 1-А",Дарницький,118.0,4,18,2015.0
321,3803472333.0,369000,3355.0,"вулиця Андрія Верхогляда, 3",Печерський,110.0,3,13,2010.0
322,4157056641.0,140000,2559.0,"Нагірна вулиця, 16/18",Шевченківський,54.7,1,8,2021.0
323,4073683809.0,754000,5782.0,"Паньківська вулиця, 20/82",Голосіївський,130.4,4,23,2020.0
324,4056618187.0,110000,1264.0,"Срібнокільська вулиця, 1",Дарницький,87.0,2,6,2007.0
325,3774539825.0,951500,2750.0,"вулиця Андрія Верхогляда, 15",Печерський,346.0,6,22,2017.0
327,4133695218.0,45000,1047.0,"вулиця Миколи Шепелєва, 6",Солом’янський,43.0,2,5,1963.0
328,4245603595.0,58000,781.0,"проспект Червоної Калини, 71",Деснянський,74.3,3,15,1989.0
329,4164105708.0,60000,1000.0,"проспект Павла Тичини, 3",Дніпровський,60.0,3,3,1968.0
330,4157112134.0,72000,1401.0,"Приладний провулок, 8",Святошинський,51.4,2,12,1983.0
331,3923808964.0,320000,2909.0,"вулиця Андрія Верхогляда, 16",Печерський,110.0,3,11,2013.0
333,3891863496.0,92000,2244.0,"вулиця Михайла Максимовича, 26-Г",Голосіївський,41.0,2,17,2022.0
334,4245671159.0,57000,1000.0,"Берестейський проспект, 77-А",Святошинський,57.0,2,5,1956.0
335,4196044658.0,140000,1761.0,"Каховська вулиця, 62-А",Дніпровський,79.5,3,16,2020.0
339,3052719833.0,220000,1419.0,"Дарницький бульвар, 8-В",Дніпровський,155.0,4,12,2015.0
340,3293226211.0,670000,5154.0,"вулиця Андрія Верхогляда, 17",Печерський,130.0,4,7,2020.0
341,4223792268.0,308000,2800.0,"Берестейський проспект, 5-В",Шевченківський,110.0,4,33,2018.0
342,3730076540.0,270000,1598.0,"проспект Валерія Лобановського, 6-В",Солом’янський,169.0,3,25,2009.0
343,3916166217.0,260000,3730.0,"Інститутська вулиця, 24/7",Печерський,69.7,3,4,1936.0
344,4224306794.0,110000,1746.0,"вулиця Бориса Гмирі, 16А",Дарницький,63.0,2,22,2018.0
345,4248472502.0,71000,1775.0,"Предславинська вулиця, 25",Печерський,40.0,1,11,1982.0
346,4216762006.0,399900,6348.0,"Садово-Ботанічна вулиця, 46",Печерський,63.0,2,4,2021.0
347,3468984368.0,620000,5741.0,"вулиця Андрія Верхогляда, 17-В",Печерський,108.0,3,9,2021.0
348,4208458964.0,165000,2538.0,"Басейна вулиця, 17",Печерський,65.0,3,7,1958.0
349,3172424280.0,290000,5088.0,"вулиця Андрія Верхогляда, 15-Б",Печерський,57.0,2,19,2020.0
350,4241886796.0,230000,1659.0,"вулиця Генерала Шаповала, 2",Солом’янський,138.6,3,22,2010.0
351,4235404288.0,69999,1296.0,"Берестейський проспект, 21",Шевченківський,54.0,2,5,1972.0
352,1245177190.0,949999,4822.0,"вулиця Саперне Поле, 5",Печерський,197.0,4,10,2019.0
354,3923808964.0,320000,2909.0,"вулиця Андрія Верхогляда, 16",Печерський,110.0,3,11,2013.0
355,4242786547.0,72000,1108.0,"вулиця Петра Радченка, 4",Солом’янський,65.0,3,2,1992.0
356,4053044718.0,420000,3500.0,"вулиця Андрія Верхогляда, 11",Печерський,120.0,3,28,2017.0
357,4245367893.0,70000,1907.0,"вулиця Бориса Гмирі, 12-Б",Дарницький,36.7,1,14,2017.0
358,4245671159.0,57000,1000.0,"Берестейський проспект, 77-А",Святошинський,57.0,2,5,1956.0
360,3891863496.0,92000,2244.0,"вулиця Михайла Максимовича, 26-Г",Голосіївський,41.0,2,17,2022.0
361,4192795454.0,88800,1308.0,"бульвар Вацлава Гавела, 28",Солом’янський,67.9,2,2,2022.0
362,4200856970.0,350000,5385.0,"вулиця Андрія Верхогляда, 11-В",Печерський,65.0,2,3,2020.0
363,4157112134.0,72000,1401.0,"Приладний провулок, 8",Святошинський,51.4,2,12,1983.0
364,4239106397.0,87000,1182.0,"Березняківська вулиця, 30",Дніпровський,73.6,3,8,1972.0
366,4241930108.0,100000,1053.0,"Метрологічна вулиця, 107",Голосіївський,95.0,3,9,2022.0
367,4128656089.0,68000,1248.0,"вулиця Адама Міцкевича, 9",Солом’янський,54.5,2,2,1957.0
368,4208458964.0,165000,2538.0,"Басейна вулиця, 17",Печерський,65.0,3,7,1958.0
369,4200221365.0,34000,1100.0,"вулиця Мілютенка, 46",Деснянський,30.9,1,4,1974.0
370,4196061418.0,470000,5465.0,"вулиця Саперне Поле, 5-А",Печерський,86.0,2,2,2017.0
371,4207589711.0,610000,5169.0,"вулиця Андрія Верхогляда, 15-Б",Печерський,118.0,2,18,2020.0
372,3172424280.0,290000,5088.0,"вулиця Андрія Верхогляда, 15-Б",Печерський,57.0,2,19,2020.0
373,4241886796.0,230000,1659.0,"вулиця Генерала Шаповала, 2",Солом’янський,138.6,3,22,2010.0
374,4216762006.0,399900,6348.0,"Садово-Ботанічна вулиця, 46",Печерський,63.0,2,4,2021.0
377,1865502901.0,162000,1102.0,"вулиця Івана Миколайчука, 3",Дніпровський,147.0,4,1,1968.0
379,3994974643.0,76000,1723.0,"бульвар Лесі Українки, 24-Б",Печерський,44.1,2,4,1965.0
381,4246351159.0,195000,2321.0,"вулиця Олександра Олеся, 17",Подільський,84.0,3,20,2025.0
382,4248637367.0,138000,2226.0,"Метрологічна вулиця, 107-А",Голосіївський,62.0,2,7,2022.0
383,4234993259.0,50000,1567.0,"Русанівська набережна, 12/1",Дніпровський,31.9,1,1,1965.0
384,4000205537.0,130460,2372.0,"бульвар Лесі Українки, 7-Б",Печерський,55.0,1,5,2012.0
385,4195112544.0,370000,2467.0,"вулиця Юлії Здановської, 73-Г",Голосіївський,150.0,4,11,2011.0
387,4235153279.0,100000,1282.0,"вулиця Дмитра Чижевського, 2-А",Святошинський,78.0,3,3,1997.0
388,4241561160.0,89000,1328.0,"проспект Валерія Лобановського, 6-А",Солом’янський,67.0,1,5,2014.0
389,4188571808.0,435000,4833.0,"вулиця Саперне Поле, 5-А",Печерський,90.0,3,4,2017.0
390,4242419779.0,340000,2833.0,"вулиця Андрія Верхогляда, 16",Печерський,120.0,3,7,2013.0
391,4249479109.0,89500,1474.0,"вулиця Олеся Гончара, 75",Шевченківський,60.7,3,3,1966.0
393,4070032764.0,65000,1071.0,"вулиця Ореста Левицького, 3-А",Деснянський,60.7,3,4,1970.0
394,3798920022.0,430000,5443.0,"вулиця Андрія Верхогляда, 19-А",Печерський,79.0,3,20,2020.0
395,4252371284.0,206000,2784.0,"вулиця Саперне Поле, 12",Печерський,74.0,2,7,2015.0
397,4245792350.0,200000,3509.0,"вулиця Василя Тютюнника, Будинок 3",Печерський,57.0,2,11,2025.0
